"habitat",1089
"area",932
"population",791
"hunting",757
"per",674
"forest",624
"losss",583
"range",370
"gaur",357
"protected",303
"logging",246
"human",244
"threatened",243
"animal",237
"decline",229
"meat",228
"local",225
"park",207
"hunted",202
"conversion",200
"part",199
"reserve",188
"trade",187
"domestic",185
"agriculture",180
"food",180
"large",175
"national",175
"india",171
"high",170
"livestock",167
"conservation",163
"year",163
"number",159
"within",158
"agricultural",156
"likely",154
"poaching",154
"well",154
"much",153
"use",152
"used",149
"even",145
"many",144
"island",143
"plantation",143
"pet",142
"deforestation",141
"particularly",140
"land",138
"fragmentation",137
"change",127
"illegal",124
"probably",124
"factor",123
"including",122
"densities",121
"least",118
"commercial",117
"degradation",116
"effect",116
"reduced",116
"bear",115
"occur",115
"wildlife",115
"still",113
"include",112
"level",112
"small",111
"development",109
"fire",109
"relatively",106
"road",102
"sambar",102
"throughout",100
"china",99
"competition",99
"impact",99
"found",98
"increase",98
"region",97
"serious",95
"deer",94
"disturbance",94
"nam",94
"especially",93
"known",93
"wild",93
"malaysia",92
"mortality",91
"southeast",90
"two",90
"disease",89
"hedges",88
"increased",88
"main",88
"protection",88
"asia",87
"management",87
"destruction",86
